DateTime,Entries,UniqueIPs
1558013052,1429,1479
1558014993,1429,1478
1558016924,1415,1469
1558018821,1423,1475
1558021004,1412,1459
1558023408,1417,1464
1558025319,1417,1464
1558029130,1402,1447
1558031067,1408,1456
1558032995,1388,1438
1558034914,1395,1445
1558038757,1378,1430
1558040656,1366,1418
1558042572,1373,1424
1558044522,1374,1428
1558046442,1375,1429
1558048360,1369,1423
1558050250,1367,1421
1558052179,1354,1407
1558054335,1356,1408
1558058168,1322,1371
1558060092,1355,1405
1558062023,1356,1405
1558066105,1306,1352
1558069961,1276,1323
1558071876,1271,1316
1558073795,1301,1349
1558075695,1302,1349
1558077862,1293,1341
1558079772,1305,1354
1558081701,1301,1351
1558083628,1306,1359
1558085542,1288,1342
1558087476,1280,1337
1558089402,1288,1346
1558091551,1279,1332
1558093480,1301,1354
1558095372,1301,1348
1558099210,1259,1308
1558101149,1257,1308
1558103053,1264,1315
1558104978,1265,1316
1558106913,1267,1324
1558111235,1243,1294
1558113738,1243,1293
1558115550,1245,1298
1558117452,1281,1336
1558119370,1274,1330
1558121307,1284,1342
1558123225,1273,1331
1558125158,1276,1328
1558127178,1277,1332
1558129233,1287,1342
1558131136,1287,1341
1558134403,1293,1347
1558136409,1296,1350
1558138360,1307,1362
1558140252,1313,1368
1558142173,1304,1358
1558144118,1335,1389
1558148176,1303,1359
1558150095,1315,1371
1558152264,1344,1402
1558154416,1333,1397
1558156582,1333,1399
1558158519,1330,1396
1558160433,1330,1396
1558162541,1315,1378
1558164487,1319,1381
1558166431,1312,1374
1558168337,1306,1367
1558170279,1312,1374
1558172170,1314,1376
1558176012,1297,1358
1558177939,1313,1374
1558179871,1325,1385
1558181773,1304,1362
1558183691,1332,1390
1558185613,1335,1393
1558187550,1349,1408
1558189452,1371,1430
1558191366,1363,1422
1558193291,1361,1421
1558195111,1356,1414
1558197134,1381,1443
1558199056,1386,1448
1558200992,1391,1453
1558204816,1349,1410
1558206732,1352,1411
1558208669,1349,1410
1558210573,1348,1409
1558212736,1348,1409
1558214676,1348,1408
1558216574,1346,1404
1558218491,1346,1403
1558220440,1366,1423
1558222361,1353,1410
1558224261,1349,1407
1558226172,1347,1404
1558228116,1352,1409
1558230035,1362,1419
1558231933,1359,1416
1558233869,1384,1442
1558235773,1386,1444
1558237691,1374,1433
1558239608,1385,1443
1558241552,1380,1438
1558243454,1373,1434
1558245392,1381,1444
1558247295,1375,1439
1558249227,1384,1449
1558251163,1374,1438
1558253077,1382,1444
1558254971,1383,1448
1558257139,1360,1426
1558259056,1357,1423
1558260991,1370,1436
1558262909,1353,1420
1558264834,1344,1412
1558266739,1336,1404
1558268655,1342,1411
1558270593,1335,1404
1558272494,1339,1408
1558274443,1339,1409
1558276358,1347,1416
1558278259,1351,1420
1558280191,1350,1419
1558282092,1341,1412
1558284040,1350,1419
1558285941,1356,1428
1558287857,1364,1438
1558289796,1387,1462
1558291704,1394,1471
1558293611,1397,1476
1558295574,1402,1480
1558297454,1401,1477
1558299370,1405,1482
1558301316,1416,1490
1558303239,1421,1496
1558305159,1423,1500
1558307057,1427,1504
1558308972,1439,1517
1558313074,1421,1498
1558314978,1417,1492
1558316897,1420,1493
1558318832,1426,1499
1558324573,1370,1438
1558326494,1355,1422
1558328441,1356,1424
1558330356,1345,1412
1558332274,1337,1406
1558334173,1345,1415
1558336115,1350,1419
1558338013,1364,1432
1558339935,1359,1427
1558341874,1364,1430
1558343782,1372,1436
1558345715,1374,1438
1558347609,1383,1447
1558351452,1369,1433
1558353375,1378,1444
1558355319,1369,1435
1558357235,1372,1437
1558359168,1370,1436
1558361059,1372,1437
1558362975,1371,1436
1558364917,1365,1430
1558366817,1361,1426
1558368746,1361,1425
1558372597,1307,1371
1558376430,1277,1340
1558378355,1269,1330
1558380258,1273,1334
1558382195,1264,1326
1558384114,1275,1336
1558386036,1283,1346
1558387955,1275,1341
1558389860,1258,1324
1558391773,1261,1325
1558393723,1250,1315
1558395614,1249,1311
1558397535,1280,1342
1558399476,1281,1346
1558401400,1282,1350
1558403295,1313,1381
1558405213,1304,1375
1558407154,1310,1379
1558409057,1341,1410
1558410994,1342,1411
1558412896,1349,1420
1558414826,1359,1430
1558416737,1357,1427
1558418674,1359,1431
1558420575,1323,1395
1558422496,1347,1419
1558424438,1315,1382
1558426356,1304,1370
1558428255,1328,1394
1558430193,1300,1366
1558432097,1304,1371
1558434029,1278,1344
